d,seed,corruption,est,chan,field_r
3,0,C05,plain,v4_m120,0.724509077072181
3,0,C05,plain,v3_defect,0.2632881252345906
3,0,C05,plain,sent,0.5062329939404971
3,0,C05,plain,ent_cak,0.595806010371095
3,0,C05,plain,frac,0.6363481403789596
3,0,C05,plain,kappa,0.4035481062018105
3,0,C05,nugget,v4_m60,0.40673876289085675
3,0,C05,nugget,v4_m120,0.6402598434428561
3,0,C05,nugget,v3_defect,0.44742137416227223
3,0,C05,nugget,sent,0.4747470801390031
3,0,C05,nugget,ent_cak,0.6002138313961111
3,0,C05,nugget,frac,0.6090266366042391
3,0,C05,nugget,kappa,0.47216304742622345
3,0,C05,pca,v4_m60,0.6153093028320307
3,0,C05,pca,v4_m120,0.818873806314603
3,0,C05,pca,v3_defect,0.596706081271059
3,0,C05,pca,sent,0.6726347365567891
3,0,C05,pca,ent_cak,0.6313879500118805
3,0,C05,pca,frac,0.6895778137166542
3,0,C05,pca,kappa,0.3212349355673943
3,0,C05,diffusion_t4,v4_m60,0.06961535746313853
3,0,C05,diffusion_t4,v4_m120,0.12396046377245795
3,0,C05,diffusion_t4,v3_defect,0.4071025980293576
3,0,C05,diffusion_t4,sent,0.5710567882836001
3,0,C05,diffusion_t4,ent_cak,0.17635144858623336
3,0,C05,diffusion_t4,frac,0.6607949985230129
3,0,C05,diffusion_t4,kappa,0.42836829864510245
3,0,C05,diffusion_t8,v4_m60,0.2288307255716748
3,0,C05,diffusion_t8,v4_m120,0.437891346168414
3,0,C05,diffusion_t8,v3_defect,0.47222487021850507
3,0,C05,diffusion_t8,sent,0.5147439053789414
3,0,C05,diffusion_t8,ent_cak,-0.3995536167077357
3,0,C05,diffusion_t8,frac,0.568313849614508
3,0,C05,diffusion_t8,kappa,0.5708261148918031
3,0,C05,heatgeo_t2,v4_m60,0.11883993951541574
3,0,C05,heatgeo_t2,v4_m120,0.05020670897390612
3,0,C05,heatgeo_t2,v3_defect,0.5801832781622817
3,0,C05,heatgeo_t2,sent,0.4197332135053666
3,0,C05,heatgeo_t2,ent_cak,-0.4589571113384684
3,0,C05,heatgeo_t2,frac,0.14865848768629325
3,0,C05,heatgeo_t2,kappa,0.007583124329195428
3,0,C05,heatgeo_t8,v4_m60,-0.4128165451779663
3,0,C05,heatgeo_t8,v4_m120,-0.4492711874243272
3,0,C05,heatgeo_t8,v3_defect,
3,0,C05,heatgeo_t8,sent,0.4957683100275008
3,0,C05,heatgeo_t8,ent_cak,
3,0,C05,heatgeo_t8,frac,
3,0,C05,heatgeo_t8,kappa,
3,0,C17,plain,v4_m60,0.22146007441667684
3,0,C17,plain,v4_m120,0.2657721529038907
3,0,C17,plain,v3_defect,-0.25026225128756296
3,0,C17,plain,sent,0.1366597917445112
3,0,C17,plain,ent_cak,0.3242134178357371
3,0,C17,plain,frac,-0.23029064776423486
3,0,C17,plain,kappa,0.2527141592604375
3,0,C17,nugget,v4_m60,0.30059492060474996
3,0,C17,nugget,v4_m120,0.3569660395994934
3,0,C17,nugget,v3_defect,-0.3129766177135409
3,0,C17,nugget,sent,0.18989692086498167
3,0,C17,nugget,ent_cak,0.3128387582600282
3,0,C17,nugget,frac,0.16909282390085908
3,0,C17,nugget,kappa,0.308289221565451
3,0,C17,pca,v4_m60,0.2731225463237747
3,0,C17,pca,v4_m120,0.33931026402993847
3,0,C17,pca,v3_defect,-0.39657460834994795
3,0,C17,pca,sent,0.2918303307749275
3,0,C17,pca,ent_cak,0.3271879144213124
3,0,C17,pca,frac,-0.13803269904759863
3,0,C17,pca,kappa,0.33900848107432846
3,0,C17,diffusion_t4,v4_m60,-0.0407224240600397
3,0,C17,diffusion_t4,v4_m120,-0.032865855601738075
3,0,C17,diffusion_t4,v3_defect,-0.3331231881312327
3,0,C17,diffusion_t4,sent,-0.3536917691267876
3,0,C17,diffusion_t4,ent_cak,0.25590857419555624
3,0,C17,diffusion_t4,frac,-0.3505316296737033
3,0,C17,diffusion_t4,kappa,-0.30115898551798503
3,0,C17,diffusion_t8,v4_m60,-0.004451719126783381
3,0,C17,diffusion_t8,v4_m120,-0.08706542221976711
3,0,C17,diffusion_t8,v3_defect,-0.2518696264745336
3,0,C17,diffusion_t8,sent,-0.36731929132517976
3,0,C17,diffusion_t8,ent_cak,0.32541442413869737
3,0,C17,diffusion_t8,frac,-0.3894675787795399
3,0,C17,diffusion_t8,kappa,-0.42062870010505327
3,0,C17,heatgeo_t2,v4_m60,0.2774120507610699
3,0,C17,heatgeo_t2,v4_m120,0.37608067875124085
3,0,C17,heatgeo_t2,v3_defect,0.25655459747065357
3,0,C17,heatgeo_t2,sent,0.006154584254997594
3,0,C17,heatgeo_t2,ent_cak,-0.2429925200640516
3,0,C17,heatgeo_t2,frac,0.35180310400777826
3,0,C17,heatgeo_t2,kappa,0.18090735328441493
3,0,C17,heatgeo_t8,v4_m60,0.43426636282237274
3,0,C17,heatgeo_t8,v4_m120,0.39369056727101553
3,0,C17,heatgeo_t8,v3_defect,
3,0,C17,heatgeo_t8,sent,-0.287994541283074
3,0,C17,heatgeo_t8,ent_cak,
3,0,C17,heatgeo_t8,frac,-0.2106300285507339
3,0,C17,heatgeo_t8,kappa,
3,0,D,plain,v4_m60,0.3015093909366812
3,0,D,plain,v4_m120,0.32136362998601387
3,0,D,plain,v3_defect,-0.21409077395138223
3,0,D,plain,sent,0.08808432241411725
3,0,D,plain,ent_cak,0.2958381283708766
3,0,D,plain,frac,0.08381210246419232
3,0,D,plain,kappa,0.26735133045189596
3,0,D,nugget,v4_m60,0.3716610803721469
3,0,D,nugget,v4_m120,0.3277031478441246
3,0,D,nugget,v3_defect,-0.1032381940546448
3,0,D,nugget,sent,0.035288618472001675
3,0,D,nugget,ent_cak,0.1709943632210924
3,0,D,nugget,frac,0.18367185930352262
3,0,D,nugget,kappa,0.20838161003288755
3,0,D,pca,v4_m60,0.21429016800002174
3,0,D,pca,v4_m120,0.31858737642203366
3,0,D,pca,v3_defect,-0.4659209392089232
3,0,D,pca,sent,0.006934275936935803
3,0,D,pca,ent_cak,0.24076815807115443
3,0,D,pca,frac,-0.29293247110473636
3,0,D,pca,kappa,0.4919922315899514
3,0,D,diffusion_t4,v4_m60,-0.0317303078000239
3,0,D,diffusion_t4,v4_m120,-0.05310548625958686
3,0,D,diffusion_t4,v3_defect,0.13208477697188997
3,0,D,diffusion_t4,sent,-0.13087466881592155
3,0,D,diffusion_t4,ent_cak,0.05825492996060078
3,0,D,diffusion_t4,frac,-0.052843633840701475
3,0,D,diffusion_t4,kappa,0.023491826392514927
3,0,D,diffusion_t8,v4_m60,0.009129172969681534
3,0,D,diffusion_t8,v4_m120,-0.07016273833935634
3,0,D,diffusion_t8,v3_defect,-0.17930182153325455
3,0,D,diffusion_t8,sent,-0.13295571438700857
3,0,D,diffusion_t8,ent_cak,0.05845932031763232
3,0,D,diffusion_t8,frac,-0.12049479220363235
3,0,D,diffusion_t8,kappa,0.011187035478874697
3,0,D,heatgeo_t2,v4_m60,-0.0295771483510215
3,0,D,heatgeo_t2,v4_m120,0.09394296247549282
3,0,D,heatgeo_t2,v3_defect,
3,0,D,heatgeo_t2,sent,0.14931240686228597
3,0,D,heatgeo_t2,ent_cak,
3,0,D,heatgeo_t2,frac,
3,0,D,heatgeo_t2,kappa,
3,0,D,heatgeo_t8,v4_m60,-0.1240018449651249
3,0,D,heatgeo_t8,v4_m120,-0.1512582389899948
3,0,D,heatgeo_t8,v3_defect,
3,0,D,heatgeo_t8,sent,-0.056406645648868964
3,0,D,heatgeo_t8,ent_cak,
3,0,D,heatgeo_t8,frac,
3,0,D,heatgeo_t8,kappa,
3,1,A_oracle,oracle,v4_m60,0.9714329895987477
3,1,A_oracle,oracle,v4_m120,0.9397351843582975
3,1,A_oracle,oracle,v3_defect,0.7303926058207589
3,1,A_oracle,oracle,sent,0.644531664849609
3,1,A_oracle,oracle,ent_cak,0.6743604130860671
3,1,A_oracle,oracle,frac,0.876038724507071
3,1,A_oracle,oracle,kappa,0.3005657092871055
3,1,B,plain,v4_m60,0.7757678027837771
3,1,B,plain,v4_m120,0.8621347912976831
3,1,B,plain,v3_defect,0.6117515981033516
3,1,B,plain,sent,0.6786753198556797
3,1,B,plain,ent_cak,0.6549033783484218
3,1,B,plain,frac,0.8275380229266033
3,1,B,plain,kappa,0.34452499887484767
3,1,B,nugget,v4_m60,0.5992797226737935
3,1,B,nugget,v4_m120,0.8239069680303949
3,1,B,nugget,v3_defect,0.363212227237959
3,1,B,nugget,sent,0.6670209179217332
3,1,B,nugget,ent_cak,0.6350963917233388
3,1,B,nugget,frac,0.8143238524094405
3,1,B,nugget,kappa,0.46291762834816685
3,1,B,pca,v4_m60,0.6403523119515242
3,1,B,pca,v4_m120,0.875025015008757
3,1,B,pca,v3_defect,0.5423416690060856
3,1,B,pca,sent,0.7258087989178459
3,1,B,pca,ent_cak,0.5872042864170719
3,1,B,pca,frac,0.8340807056751273
3,1,B,pca,kappa,0.5138070025963664
3,1,B,diffusion_t4,v4_m60,0.06636285269614647
3,1,B,diffusion_t4,v4_m120,0.14483061452726967
3,1,B,diffusion_t4,v3_defect,0.6559951444068859
3,1,B,diffusion_t4,sent,0.7529791399364737
3,1,B,diffusion_t4,ent_cak,0.22353755567477124
3,1,B,diffusion_t4,frac,0.8987373826966599
3,1,B,diffusion_t4,kappa,0.4442580185043743
3,1,B,diffusion_t8,v4_m60,0.13927977469999755
3,1,B,diffusion_t8,v4_m120,0.2560090797793502
3,1,B,diffusion_t8,v3_defect,0.6949308224197023
3,1,B,diffusion_t8,sent,0.7921822666512572
3,1,B,diffusion_t8,ent_cak,-0.7183724215087312
3,1,B,diffusion_t8,frac,0.8848296078347384
3,1,B,diffusion_t8,kappa,0.7702567069780945
3,1,B,heatgeo_t2,v4_m60,-0.2014160657411347
3,1,B,heatgeo_t2,v4_m120,-0.41890028755244474
3,1,B,heatgeo_t2,v3_defect,0.7124517515402262
3,1,B,heatgeo_t2,sent,0.5585980527631967
3,1,B,heatgeo_t2,ent_cak,-0.5939008230298122
3,1,B,heatgeo_t2,frac,0.18711654006693187
3,1,B,heatgeo_t2,kappa,0.03128178889773249
3,1,B,heatgeo_t8,v4_m60,-0.5645351239942248
3,1,B,heatgeo_t8,v4_m120,-0.6636031024330372
3,1,B,heatgeo_t8,v3_defect,
3,1,B,heatgeo_t8,sent,0.6805974766797247
3,1,B,heatgeo_t8,ent_cak,
3,1,B,heatgeo_t8,frac,0.2672848789932063
3,1,B,heatgeo_t8,kappa,-0.22722199187595848
3,1,C05,plain,v4_m60,0.3775906200999955
3,1,C05,plain,v4_m120,0.43704722854673134
3,1,C05,plain,v3_defect,0.3724201942076165
3,1,C05,plain,sent,0.4384466706571382
3,1,C05,plain,ent_cak,0.4345644962224063
3,1,C05,plain,frac,0.7171686762946069
3,1,C05,plain,kappa,0.24574128551767374
3,1,C05,nugget,v4_m60,0.12073222767930232
3,1,C05,nugget,v4_m120,0.14881337806270323
3,1,C05,nugget,v3_defect,0.15699528956876754
3,1,C05,nugget,sent,0.38714209677177286
3,1,C05,nugget,ent_cak,0.3769473295143384
3,1,C05,nugget,frac,0.6700121591563619
3,1,C05,nugget,kappa,0.5624624054463642
3,1,C05,pca,v4_m60,0.4328096544955998
3,1,C05,pca,v4_m120,0.3918930347113542
3,1,C05,pca,v3_defect,0.3624974330219151
3,1,C05,pca,sent,0.5433255258575598
3,1,C05,pca,ent_cak,0.4254500939318509
3,1,C05,pca,frac,0.8188275108342494
3,1,C05,pca,kappa,0.18779188604893204
3,1,C05,diffusion_t4,v4_m60,0.3329222353837409
3,1,C05,diffusion_t4,v4_m120,0.32329229280179894
3,1,C05,diffusion_t4,v3_defect,0.4164696093897232
3,1,C05,diffusion_t4,sent,0.49242820537293835
3,1,C05,diffusion_t4,ent_cak,0.21588892886456498
3,1,C05,diffusion_t4,frac,0.7130234396625298
3,1,C05,diffusion_t4,kappa,0.09448182836798537
3,1,C05,diffusion_t8,v4_m60,0.28995329961488714
3,1,C05,diffusion_t8,v4_m120,0.31157009173005096
3,1,C05,diffusion_t8,v3_defect,0.3405442166750769
3,1,C05,diffusion_t8,sent,0.43178750211221273
3,1,C05,diffusion_t8,ent_cak,-0.29579043599869453
3,1,C05,diffusion_t8,frac,0.5942166086170645
3,1,C05,diffusion_t8,kappa,0.13850342167034854
3,1,C05,heatgeo_t2,v4_m60,-0.20852911160640467
3,1,C05,heatgeo_t2,v4_m120,-0.3352409216091641
3,1,C05,heatgeo_t2,v3_defect,0.3858113006945746
3,1,C05,heatgeo_t2,sent,0.4138712326505273
3,1,C05,heatgeo_t2,ent_cak,-0.3947734197714214
3,1,C05,heatgeo_t2,frac,
3,1,C05,heatgeo_t2,kappa,0.27886531555026894
3,1,C05,heatgeo_t8,v4_m60,-0.5185079997477867
3,1,C05,heatgeo_t8,v4_m120,-0.6249649529328603
3,1,C05,heatgeo_t8,v3_defect,
3,1,C05,heatgeo_t8,sent,0.40613630264273015
3,1,C05,heatgeo_t8,ent_cak,
3,1,C05,heatgeo_t8,frac,
3,1,C05,heatgeo_t8,kappa,
3,1,C17,plain,v4_m60,0.0639687562047413
3,1,C17,plain,v4_m120,-0.07578346520483409
3,1,C17,plain,v3_defect,-0.15911025688412073
3,1,C17,plain,sent,-0.1819788311560755
3,1,C17,plain,ent_cak,0.19516619122825593
3,1,C17,plain,frac,0.010690502179229493
3,1,C17,plain,kappa,-0.08510663218857198
3,1,C17,nugget,v4_m60,0.00016658418815443716
3,1,C17,nugget,v4_m120,-0.08331109906416026
3,1,C17,nugget,v3_defect,-0.15351099392974807
3,1,C17,nugget,sent,-0.24039853941407555
3,1,C17,nugget,ent_cak,0.2336170235664874
3,1,C17,nugget,frac,-0.23291301378796042
3,1,C17,nugget,kappa,-0.23185497919590578
3,1,C17,pca,v4_m60,-0.020053478388147236
3,1,C17,pca,v4_m120,-0.06877282132740631
3,1,C17,pca,v3_defect,0.11114686662321237
3,1,C17,pca,sent,-0.11897698572703178
3,1,C17,pca,ent_cak,0.06613464351773754
3,1,C17,pca,frac,0.05317926507713627
3,1,C17,pca,kappa,0.15504731502439528
3,1,C17,diffusion_t4,v4_m60,-0.18358870287216295
3,1,C17,diffusion_t4,v4_m120,0.01615690993437641
3,1,C17,diffusion_t4,v3_defect,-0.18120720019694025
3,1,C17,diffusion_t4,sent,-0.11123723644125094
3,1,C17,diffusion_t4,ent_cak,-0.04061871136011024
3,1,C17,diffusion_t4,frac,0.05191928216189006
3,1,C17,diffusion_t4,kappa,-0.028273078067222894
3,1,C17,diffusion_t8,v4_m60,-0.06759993910797835
3,1,C17,diffusion_t8,v4_m120,-0.04284867159415107
3,1,C17,diffusion_t8,v3_defect,-0.07942519621312842
3,1,C17,diffusion_t8,sent,-0.10359860672795476
3,1,C17,diffusion_t8,ent_cak,-0.015480693961594212
3,1,C17,diffusion_t8,frac,0.05601946685256898
3,1,C17,diffusion_t8,kappa,-0.23379627739282086
3,1,C17,heatgeo_t2,v4_m60,0.03722537390803458
3,1,C17,heatgeo_t2,v4_m120,0.04079404556789536
3,1,C17,heatgeo_t2,v3_defect,-0.08641584609543057
3,1,C17,heatgeo_t2,sent,-0.1860285475463202
3,1,C17,heatgeo_t2,ent_cak,0.1279132423066134
3,1,C17,heatgeo_t2,frac,
3,1,C17,heatgeo_t2,kappa,0.1720712293767171
3,1,C17,heatgeo_t8,v4_m60,0.04996486475748042
3,1,C17,heatgeo_t8,v4_m120,0.05280122151311043
3,1,C17,heatgeo_t8,v3_defect,
3,1,C17,heatgeo_t8,sent,-0.1547817837934173
3,1,C17,heatgeo_t8,ent_cak,
3,1,C17,heatgeo_t8,frac,
3,1,C17,heatgeo_t8,kappa,
3,1,D,plain,v4_m60,0.031200045488691406
3,1,D,plain,v4_m120,0.008516710449407727
3,1,D,plain,v3_defect,-0.45694914013920346
3,1,D,plain,sent,-0.09141040881287407
3,1,D,plain,ent_cak,-0.04189064412494659
3,1,D,plain,frac,-0.1772822223467855
3,1,D,plain,kappa,-0.18876585394250184
3,1,D,nugget,v4_m60,0.1868459774553624
3,1,D,nugget,v4_m120,0.2976040393021807
3,1,D,nugget,v3_defect,-0.2434682757700761
3,1,D,nugget,sent,-0.2036137816076369
3,1,D,nugget,ent_cak,0.008928162609731167
3,1,D,nugget,frac,-0.13662287801593853
3,1,D,nugget,kappa,0.22152581792917778
3,1,D,pca,v4_m60,0.009059140878594461
3,1,D,pca,v4_m120,-0.019220449566183566
3,1,D,pca,v3_defect,-0.37064625753765007
3,1,D,pca,sent,-0.228316619782352
3,1,D,pca,ent_cak,0.12016767763776265
3,1,D,pca,frac,-0.19085909775869103
3,1,D,pca,kappa,0.17436570723267494
3,1,D,diffusion_t4,v4_m60,0.048400309663936235
3,1,D,diffusion_t4,v4_m120,-0.06468639568800845
3,1,D,diffusion_t4,v3_defect,0.025567736777260337
3,1,D,diffusion_t4,sent,0.012408003393862067
3,1,D,diffusion_t4,ent_cak,0.04309997577689621
3,1,D,diffusion_t4,frac,-0.13079344047945846
3,1,D,diffusion_t4,kappa,-0.10174915214845746
3,1,D,diffusion_t8,v4_m60,-0.041588437819420614
3,1,D,diffusion_t8,v4_m120,0.024142330000126288
3,1,D,diffusion_t8,v3_defect,-0.007938778196398264
3,1,D,diffusion_t8,sent,0.03337563446027331
3,1,D,diffusion_t8,ent_cak,0.05769956203749562
3,1,D,diffusion_t8,frac,-0.07703334942792192
3,1,D,diffusion_t8,kappa,0.033842998914002685
3,1,D,heatgeo_t2,v4_m60,0.2903845778200118
3,1,D,heatgeo_t2,v4_m120,0.2712633727695379
3,1,D,heatgeo_t2,v3_defect,
3,1,D,heatgeo_t2,sent,0.013815496147644149
3,1,D,heatgeo_t2,ent_cak,
3,1,D,heatgeo_t2,frac,
3,1,D,heatgeo_t2,kappa,
3,1,D,heatgeo_t8,v4_m60,-0.01596223040240419
3,1,D,heatgeo_t8,v4_m120,-0.06197794526957542
3,1,D,heatgeo_t8,v3_defect,
3,1,D,heatgeo_t8,sent,0.07743743201183455
3,1,D,heatgeo_t8,ent_cak,
3,1,D,heatgeo_t8,frac,
3,1,D,heatgeo_t8,kappa,
4,0,A_oracle,oracle,v4_m60,0.9700723378686009
4,0,A_oracle,oracle,v4_m120,0.9131780441027512
4,0,A_oracle,oracle,v3_defect,0.4343798231546602
4,0,A_oracle,oracle,sent,0.4682584675050657
4,0,A_oracle,oracle,ent_cak,0.7102877326185791
4,0,A_oracle,oracle,frac,0.8445522845437152
4,0,A_oracle,oracle,kappa,0.14656183215658586
4,0,B,plain,v4_m60,0.6688416588423504
4,0,B,plain,v4_m120,0.8007495751087651
4,0,B,plain,v3_defect,0.4450563805230357
4,0,B,plain,sent,0.5545448930888488
4,0,B,plain,ent_cak,0.7040975565325176
4,0,B,plain,frac,0.8025793120856821
4,0,B,plain,kappa,0.4047580645942474
4,0,B,nugget,v4_m60,0.6728125349655066
4,0,B,nugget,v4_m120,0.6698897545732916
4,0,B,nugget,v3_defect,0.4009809188230982
4,0,B,nugget,sent,0.44707543279518297
4,0,B,nugget,ent_cak,0.7294177585386219
4,0,B,nugget,frac,0.737766468714363
4,0,B,nugget,kappa,0.2947360109176544
4,0,B,pca,v4_m60,0.5016167522447181
4,0,B,pca,v4_m120,0.6649135699335054
4,0,B,pca,v3_defect,0.33249321031588097
4,0,B,pca,sent,0.6926758159772787
4,0,B,pca,ent_cak,0.2761688427265965
4,0,B,pca,frac,0.8609384041914424
4,0,B,pca,kappa,0.25578440668664815
4,0,B,diffusion_t4,v4_m60,0.6457149336297654
4,0,B,diffusion_t4,v4_m120,0.7017903345773974
4,0,B,diffusion_t4,v3_defect,0.5303065564309373
4,0,B,diffusion_t4,sent,0.7929005671592789
4,0,B,diffusion_t4,ent_cak,-0.694939526277924
4,0,B,diffusion_t4,frac,0.8509536720239682
4,0,B,diffusion_t4,kappa,0.6227101735775179
4,0,B,diffusion_t8,v4_m60,-0.15673522353713315
4,0,B,diffusion_t8,v4_m120,-0.6162682268287346
4,0,B,diffusion_t8,v3_defect,0.13608912291254474
4,0,B,diffusion_t8,sent,-0.18607666428434033
4,0,B,diffusion_t8,ent_cak,-0.7834197333776994
4,0,B,diffusion_t8,frac,-0.48204610671972603
4,0,B,diffusion_t8,kappa,0.051129704095325204
4,0,B,heatgeo_t2,v4_m60,-0.26541223559822996
4,0,B,heatgeo_t2,v4_m120,-0.5029116761960001
4,0,B,heatgeo_t2,v3_defect,0.5291234773786574
4,0,B,heatgeo_t2,sent,0.5755699229465001
4,0,B,heatgeo_t2,ent_cak,-0.554389692252307
4,0,B,heatgeo_t2,frac,
4,0,B,heatgeo_t2,kappa,-0.03914773136560182
4,0,B,heatgeo_t8,v4_m60,-0.45650654842799315
4,0,B,heatgeo_t8,v4_m120,-0.5101312297771068
4,0,B,heatgeo_t8,v3_defect,
4,0,B,heatgeo_t8,sent,0.620986300570464
4,0,B,heatgeo_t8,ent_cak,
4,0,B,heatgeo_t8,frac,
4,0,B,heatgeo_t8,kappa,
4,0,C05,plain,v4_m60,0.16748585533938534
4,0,C05,plain,v4_m120,0.25664251236284047
4,0,C05,plain,v3_defect,0.30001411584846965
4,0,C05,plain,sent,0.31356583893526185
4,0,C05,plain,ent_cak,0.007711122360952558
4,0,C05,plain,frac,0.06942462619006763
4,0,C05,plain,kappa,0.17446075122603127
4,0,C05,nugget,v4_m60,-0.11298527933055255
4,0,C05,nugget,v4_m120,-0.05660409330155933
4,0,C05,nugget,v3_defect,0.23322860383075608
4,0,C05,nugget,sent,0.12448431467315364
4,0,C05,nugget,ent_cak,-0.07300863653621602
4,0,C05,nugget,frac,-0.014751960887082945
4,0,C05,nugget,kappa,-0.4481917308501713
4,0,C05,pca,v4_m60,0.38921924315974865
4,0,C05,pca,v4_m120,0.29945222714694164
4,0,C05,pca,v3_defect,0.46177128606100654
4,0,C05,pca,sent,0.2689626448548743
4,0,C05,pca,ent_cak,0.018842862825490456
4,0,C05,pca,frac,0.06979514694281111
4,0,C05,pca,kappa,0.051573460936369594
4,0,C05,diffusion_t4,v4_m60,0.35201092481822205
4,0,C05,diffusion_t4,v4_m120,0.37360651633685676
4,0,C05,diffusion_t4,v3_defect,0.3124735416656936
4,0,C05,diffusion_t4,sent,0.2952965546702061
4,0,C05,diffusion_t4,ent_cak,-0.2650785102581186
4,0,C05,diffusion_t4,frac,0.24338834737071702
4,0,C05,diffusion_t4,kappa,0.3768032954014813
4,0,C05,diffusion_t8,v4_m60,-0.19344311354407423
4,0,C05,diffusion_t8,v4_m120,-0.35530962152391604
4,0,C05,diffusion_t8,v3_defect,0.12378256302863783
4,0,C05,diffusion_t8,sent,-0.02006632915618139
4,0,C05,diffusion_t8,ent_cak,-0.31807837437270253
4,0,C05,diffusion_t8,frac,-0.18027250675944925
4,0,C05,diffusion_t8,kappa,0.15182933494173378
4,0,C05,heatgeo_t2,v4_m60,-0.23965554860283306
4,0,C05,heatgeo_t2,v4_m120,-0.2771814277008558
4,0,C05,heatgeo_t2,v3_defect,0.30571834368466905
4,0,C05,heatgeo_t2,sent,0.4088323988978668
4,0,C05,heatgeo_t2,ent_cak,-0.3998755844116869
4,0,C05,heatgeo_t2,frac,
4,0,C05,heatgeo_t2,kappa,-0.2650592531627067
4,0,C05,heatgeo_t8,v4_m60,-0.1902160875289685
4,0,C05,heatgeo_t8,v4_m120,-0.2134810313651636
4,0,C05,heatgeo_t8,v3_defect,
4,0,C05,heatgeo_t8,sent,0.30909771456187557
4,0,C05,heatgeo_t8,ent_cak,
4,0,C05,heatgeo_t8,frac,
4,0,C05,heatgeo_t8,kappa,
4,0,C17,plain,v4_m60,-0.10374969769540672
4,0,C17,plain,v4_m120,-0.09326283335285425
4,0,C17,plain,v3_defect,0.1482855609818866
4,0,C17,plain,sent,0.15282670233816684
4,0,C17,plain,ent_cak,-0.024501170341761535
4,0,C17,plain,frac,0.05190650718592063
4,0,C17,plain,kappa,-0.2516115572858106
4,0,C17,nugget,v4_m60,0.12266396427643836
4,0,C17,nugget,v4_m120,0.16434266124854438
4,0,C17,nugget,v3_defect,-0.038714136020480606
4,0,C17,nugget,sent,0.07298629631505486
4,0,C17,nugget,ent_cak,0.037658149669013104
4,0,C17,nugget,frac,0.021225323442493605
4,0,C17,nugget,kappa,0.09434231611492556
4,0,C17,pca,v4_m60,0.06025003884958181
4,0,C17,pca,v4_m120,-0.12923718268816156
4,0,C17,pca,v3_defect,0.2685815723790576
4,0,C17,pca,sent,0.2967540221076814
4,0,C17,pca,ent_cak,-0.027863988300672576
4,0,C17,pca,frac,0.2736759742453349
4,0,C17,pca,kappa,0.10190726088103716
4,0,C17,diffusion_t4,v4_m60,-0.21755889992164404
4,0,C17,diffusion_t4,v4_m120,-0.23489992620623124
